id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52362139,☆Cute and Cozy 1BR Near Rogers Centre☆,355608886,Joana,,Waterfront Communities-The Island,43.641,-79.39651,Entire home/apt,151,28,104,2022-12-05,7.04,2,111,90,STR-2204-HCSHHJ
52532463,42 /103 Bright room in harbord village,409774945,Michelle,,University,43.6607,-79.40186,Private room,70,28,5,2022-07-01,0.40,7,2,4,
52533484,♡Comfortable 1-BR Condo in DT Toronto♡,785826,Sky View,,Bay Street Corridor,43.65893,-79.38424,Entire home/apt,175,30,0,,,135,70,0,
52534075,"[DT Toronto: ENTIRE PLACE: Queen bed, Comfortable",134195333,Lolo,,Waterfront Communities-The Island,43.64509,-79.40075,Entire home/apt,80,28,6,2021-11-04,0.42,2,0,0,STR-2109-FKGHHB
52369274,Renovated Home away from Home - Monthly Rates,42083657,Justin,,Rockcliffe-Smythe,43.67764,-79.49369,Entire home/apt,149,3,24,2022-11-30,1.87,1,89,20,STR-2109-HPZHHK
52534154,Yonge&Finch Subway !N Cozy & Modern Private Bd,405781186,Rozeda,,Newtonbrook East,43.78415,-79.40226,Private room,49,28,40,2022-11-04,2.84,13,59,34,STR-2012-GVMBHH
52369317,Scandi 1 Bd condo with downtown view,133514213,Akolade,,Church-Yonge Corridor,43.66293,-79.38057,Entire home/apt,140,5,1,2021-10-22,0.07,1,0,0,STR-2109-JCBPHM
52534375,Yorkmills & Bayview !B Spacious&Stylish Private Bd,405781186,Rozeda,,St.Andrew-Windfields,43.74829,-79.3859,Private room,50,28,78,2022-11-12,5.49,13,86,64,STR-2012-JGTBHM
52372646,Private 4bedroom semi-detached on Queen/Broadview,383362004,Mahdi,,South Riverdale,43.659805,-79.351227,Entire home/apt,314,1,38,2022-11-20,3.23,2,67,38,STR-2110-HVMHHL
52535800,Toronto Beaches,18260581,Jacquie,,The Beaches,43.678772,-79.288483,Entire home/apt,116,28,19,2022-11-10,1.38,1,154,16,STR-2109-GTGHHH
52373311,BEAUTIFUL AND QUIET PLACE FOR YOU,235581002,Aura,,Centennial Scarborough,43.77614,-79.13912,Private room,40,2,18,2022-11-14,2.12,1,358,18,STR-2203-FJYHHB
52535908,Designer Penthouse - with Large Balcony,16398087,Andie,,Little Portugal,43.64205,-79.42309,Entire home/apt,154,30,2,2022-12-02,0.90,2,202,2,
52545578,Toronto Downtown core 1BD+1W Luxury stay,149238103,Amy,,Waterfront Communities-The Island,43.64951705932617,-79.38727569580078,Entire home/apt,128,30,5,2022-11-28,0.44,1,179,5,
52374839,Spacious 1 bedroom Uptown,72511076,Sarah,,Mount Pleasant West,43.71026,-79.39375,Entire home/apt,108,8,5,2022-10-25,0.73,1,1,5,STR-2203-HJYHHK
52552982,Entire condominium king size bed and huge balcony,327520728,Hamid,,Waterfront Communities-The Island,43.64128,-79.39679,Entire home/apt,171,28,0,,,2,90,0,STR-2011-HKSXVK
52382938,"Party, Celebrations, Event Gatherings, Group trips",420738130,Xiu,,Trinity-Bellwoods,43.65087890625,-79.4065933227539,Entire home/apt,804,1,26,2022-11-22,1.84,7,351,23,STR-2108-JGBPHM
52555360,Spacious Master Bedroom With Private Washroom,56546669,Amir,,Newtonbrook East,43.7872,-79.40637,Private room,93,1,16,2022-10-30,1.13,3,365,6,STR-2109-HJBPHJ
52384028,"Modern Condo Downtown, Free Parking, Mthly Stays!",361454550,Dmitri,,Moss Park,43.65113,-79.37114,Entire home/apt,95,28,1,2021-12-01,0.08,2,0,0,
52556274,Fully Renovated One Bedroom Basement Apartment,383998171,Ganesh,,Ionview,43.73922,-79.273216,Private room,75,30,4,2022-10-07,0.31,1,111,3,
52387787,Huge Toronto Loft Space. Converted dance studio.,191497571,Aaron,,Junction Area,43.66429,-79.47314,Entire home/apt,199,3,15,2022-11-19,3.49,1,365,15,STR-2109-HMFBHK
52558589,1 BD + Den with 1.5 Bath with Breathtaking Views,37834005,Sefunmi,,Waterfront Communities-The Island,43.64409,-79.37035,Entire home/apt,179,85,0,,,1,257,0,
52388186,"Bright, quiet family occupied triplex",424043209,Doris,,Briar Hill-Belgravia,43.69667,-79.45937,Entire home/apt,83,28,48,2022-11-25,3.41,1,86,43,STR-2109-HVLBHL
52560704,Victorian Beauty w/ 4 car parking,25114375,June,,South Riverdale,43.658012,-79.347107,Entire home/apt,896,2,36,2022-12-04,3.90,1,326,36,STR-2201-HKWXVK
52390822,Available bright 1 bedroom in a 2 bedrm townhouse,302291991,Tega Tae,,Downsview-Roding-CFB,43.7368,-79.47608,Private room,92,28,26,2022-11-18,1.88,1,90,25,STR-2109-GQSBHG
52563375,Entire Detached House. Steps away from Yorkville,207535563,Alireza,,Casa Loma,43.6799,-79.40254,Entire home/apt,270,28,6,2022-09-30,0.46,1,340,5,
52396961,"Bright, elegant private room with dbl/single bunk",119352112,Karen,,Blake-Jones,43.67416,-79.34283,Private room,50,28,3,2022-08-28,0.24,4,320,2,
52565069,✈︎Centrally-Located 1-BR Condo in DT Toronto✈︎,785826,Sky View,,Bay Street Corridor,43.65898,-79.38676,Entire home/apt,133,30,0,,,135,102,0,
52565089,New Lovely Modern Beaches Condo.,262698364,Jack,,The Beaches,43.66976,-79.30516,Entire home/apt,225,28,3,2022-07-25,0.28,3,364,3,
52400387,Lovely 1 bedroom condo with parking.,55730340,Kevin,,Mimico (includes Humber Bay Shores),43.62514,-79.48526,Entire home/apt,95,28,1,2021-12-20,0.09,1,95,1,
52403579,Nice Bedroom furnished apartment@Downtown Toronto,423744124,Kidisho,,North St.James Town,43.66803,-79.37812,Entire home/apt,107,3,6,2022-11-19,1.96,2,0,6,STR-2205-HQTPHK
